club_domicile;club_exterieur;score_domicile;score_exterieur;date;heure;groupe;saison;journee
FC Sochaux-Montbéliard;FC Metz;0;0;07/04/1990;;;1990;32
Olympique de Marseille;Girondins de Bordeaux;2;0;14/04/1990;;;1990;33
FC Mulhouse;AS Monaco;1;1;14/04/1990;;;1990;33
Olympique Lyonnais;Paris Saint-Germain;1;2;14/04/1990;;;1990;33
RC Paris;FC Sochaux-Montbéliard;1;1;14/04/1990;;;1990;33
AJ Auxerre;AS Cannes;1;0;14/04/1990;;;1990;33
FC Nantes;SC Toulon;4;0;14/04/1990;;;1990;33
Toulouse FC;Stade Brestois 29;2;1;14/04/1990;;;1990;33
FC Metz;AS Saint-Etienne;1;0;14/04/1990;;;1990;33
Montpellier Hérault SC;LOSC Lille;5;0;14/04/1990;;;1990;33
OGC Nice;SM Caen;1;0;14/04/1990;;;1990;33
Girondins de Bordeaux;Olympique Lyonnais;2;0;20/04/1990;;;1990;34
Paris Saint-Germain;Olympique de Marseille;2;1;21/04/1990;;;1990;34
AS Monaco;Toulouse FC;2;0;21/04/1990;;;1990;34
FC Mulhouse;AJ Auxerre;1;2;21/04/1990;;;1990;34
SM Caen;FC Sochaux-Montbéliard;1;1;21/04/1990;;;1990;34
AS Cannes;FC Nantes;2;1;21/04/1990;;;1990;34
Stade Brestois 29;OGC Nice;3;0;21/04/1990;;;1990;34
LOSC Lille;FC Metz;2;1;21/04/1990;;;1990;34
AS Saint-Etienne;Montpellier Hérault SC;1;0;21/04/1990;;;1990;34
SC Toulon;RC Paris;1;0;21/04/1990;;;1990;34
Olympique de Marseille;FC Mulhouse;3;1;28/04/1990;;;1990;35
FC Nantes;Girondins de Bordeaux;2;1;28/04/1990;;;1990;35
OGC Nice;AS Monaco;1;0;28/04/1990;;;1990;35
AJ Auxerre;Paris Saint-Germain;2;0;28/04/1990;;;1990;35
FC Sochaux-Montbéliard;LOSC Lille;1;0;28/04/1990;;;1990;35
Toulouse FC;AS Cannes;4;0;28/04/1990;;;1990;35
Olympique Lyonnais;SC Toulon;3;2;28/04/1990;;;1990;35
FC Metz;Stade Brestois 29;1;1;28/04/1990;;;1990;35
RC Paris;AS Saint-Etienne;3;0;28/04/1990;;;1990;35
Montpellier Hérault SC;SM Caen;5;1;28/04/1990;;;1990;35
AJ Auxerre;Olympique de Marseille;0;2;05/05/1990;;;1990;36
Girondins de Bordeaux;Toulouse FC;2;1;05/05/1990;;;1990;36
AS Monaco;FC Metz;1;0;05/05/1990;;;1990;36
AS Saint-Etienne;FC Sochaux-Montbéliard;0;2;05/05/1990;;;1990;36
Paris Saint-Germain;FC Nantes;2;2;05/05/1990;;;1990;36
FC Mulhouse;Olympique Lyonnais;4;4;05/05/1990;;;1990;36
Stade Brestois 29;Montpellier Hérault SC;1;1;05/05/1990;;;1990;36
AS Cannes;OGC Nice;1;0;05/05/1990;;;1990;36
SC Toulon;LOSC Lille;1;1;05/05/1990;;;1990;36
SM Caen;RC Paris;1;0;05/05/1990;;;1990;36
Olympique de Marseille;SM Caen;1;0;12/05/1990;;;1990;37
OGC Nice;Girondins de Bordeaux;1;0;12/05/1990;;;1990;37
Montpellier Hérault SC;AS Monaco;0;0;12/05/1990;;;1990;37
FC Sochaux-Montbéliard;SC Toulon;1;0;12/05/1990;;;1990;37
Olympique Lyonnais;AJ Auxerre;1;1;12/05/1990;;;1990;37
Toulouse FC;Paris Saint-Germain;4;1;12/05/1990;;;1990;37
FC Nantes;FC Mulhouse;3;2;12/05/1990;;;1990;37
RC Paris;Stade Brestois 29;1;1;12/05/1990;;;1990;37
FC Metz;AS Cannes;2;2;12/05/1990;;;1990;37
LOSC Lille;AS Saint-Etienne;2;2;12/05/1990;;;1990;37
Olympique de Marseille;Olympique Lyonnais;0;1;19/05/1990;;;1990;38
Girondins de Bordeaux;FC Metz;1;0;19/05/1990;;;1990;38
AS Monaco;RC Paris;4;0;19/05/1990;;;1990;38
Stade Brestois 29;FC Sochaux-Montbéliard;1;0;19/05/1990;;;1990;38
Paris Saint-Germain;OGC Nice;2;1;19/05/1990;;;1990;38
AJ Auxerre;FC Nantes;0;0;19/05/1990;;;1990;38
FC Mulhouse;Toulouse FC;1;0;19/05/1990;;;1990;38
AS Cannes;Montpellier Hérault SC;1;1;19/05/1990;;;1990;38
AS Saint-Etienne;SC Toulon;1;2;19/05/1990;;;1990;38
SM Caen;LOSC Lille;2;0;19/05/1990;;;1990;38
AS Cannes;Montpellier Hérault SC;2;1;21/07/1990;;;1991;1
Paris Saint-Germain;AS Nancy-Lorraine;2;1;21/07/1990;;;1991;1
Olympique de Marseille;OGC Nice;1;0;21/07/1990;;;1991;1
FC Metz;LOSC Lille;2;2;21/07/1990;;;1991;1
FC Sochaux-Montbéliard;Stade Brestois 29;1;1;21/07/1990;;;1991;1
Toulouse FC;AJ Auxerre;0;0;21/07/1990;;;1991;1
Girondins de Bordeaux;Olympique Lyonnais;0;0;21/07/1990;;;1991;1
FC Nantes;SM Caen;0;0;21/07/1990;;;1991;1
AS Saint-Etienne;Stade Rennais FC;0;0;21/07/1990;;;1991;1
AS Monaco;SC Toulon;2;1;21/07/1990;;;1991;1
FC Metz;Olympique de Marseille;0;2;27/07/1990;;;1991;2
AJ Auxerre;AS Monaco;0;1;28/07/1990;;;1991;2
SM Caen;Girondins de Bordeaux;2;0;28/07/1990;;;1991;2
Stade Rennais FC;Paris Saint-Germain;2;1;28/07/1990;;;1991;2
Olympique Lyonnais;AS Cannes;1;0;28/07/1990;;;1991;2
Montpellier Hérault SC;FC Sochaux-Montbéliard;2;0;28/07/1990;;;1991;2
LOSC Lille;FC Nantes;1;1;28/07/1990;;;1991;2
AS Nancy-Lorraine;Stade Brestois 29;0;0;28/07/1990;;;1991;2
OGC Nice;Toulouse FC;1;1;28/07/1990;;;1991;2
SC Toulon;AS Saint-Etienne;3;0;28/07/1990;;;1991;2
AS Monaco;Montpellier Hérault SC;3;1;04/08/1990;;;1991;3
Olympique de Marseille;SM Caen;2;1;04/08/1990;;;1991;3
Toulouse FC;Olympique Lyonnais;3;1;04/08/1990;;;1991;3
Stade Brestois 29;Stade Rennais FC;0;0;04/08/1990;;;1991;3
AS Cannes;AJ Auxerre;0;3;04/08/1990;;;1991;3
Girondins de Bordeaux;LOSC Lille;1;1;04/08/1990;;;1991;3
FC Nantes;FC Metz;1;1;04/08/1990;;;1991;3
FC Sochaux-Montbéliard;AS Nancy-Lorraine;1;0;04/08/1990;;;1991;3
AS Saint-Etienne;OGC Nice;1;0;04/08/1990;;;1991;3
Paris Saint-Germain;SC Toulon;4;0;04/08/1990;;;1991;3
Montpellier Hérault SC;Paris Saint-Germain;4;0;10/08/1990;;;1991;4
OGC Nice;AS Cannes;0;0;10/08/1990;;;1991;4
Olympique Lyonnais;Olympique de Marseille;2;2;11/08/1990;;;1991;4
FC Nantes;AS Monaco;3;1;11/08/1990;;;1991;4
Stade Rennais FC;AS Nancy-Lorraine;1;0;11/08/1990;;;1991;4
AJ Auxerre;AS Saint-Etienne;2;0;11/08/1990;;;1991;4
LOSC Lille;Toulouse FC;3;0;11/08/1990;;;1991;4
SM Caen;FC Sochaux-Montbéliard;2;0;11/08/1990;;;1991;4
FC Metz;Girondins de Bordeaux;1;0;11/08/1990;;;1991;4
SC Toulon;Stade Brestois 29;1;2;11/08/1990;;;1991;4
Olympique de Marseille;LOSC Lille;2;0;18/08/1990;;;1991;5
Stade Brestois 29;OGC Nice;4;0;18/08/1990;;;1991;5
AS Monaco;Olympique Lyonnais;0;0;18/08/1990;;;1991;5
Paris Saint-Germain;AJ Auxerre;1;1;18/08/1990;;;1991;5
AS Cannes;SM Caen;1;1;18/08/1990;;;1991;5
Toulouse FC;FC Metz;2;1;18/08/1990;;;1991;5
FC Sochaux-Montbéliard;Stade Rennais FC;4;0;18/08/1990;;;1991;5
Girondins de Bordeaux;FC Nantes;2;0;18/08/1990;;;1991;5
AS Saint-Etienne;Montpellier Hérault SC;1;0;18/08/1990;;;1991;5
AS Nancy-Lorraine;SC Toulon;2;1;18/08/1990;;;1991;5
Girondins de Bordeaux;AS Monaco;0;0;24/08/1990;;;1991;6
FC Nantes;Olympique de Marseille;1;1;25/08/1990;;;1991;6
AJ Auxerre;Stade Brestois 29;2;2;25/08/1990;;;1991;6
SM Caen;Toulouse FC;2;0;25/08/1990;;;1991;6
Olympique Lyonnais;FC Sochaux-Montbéliard;1;0;25/08/1990;;;1991;6
Montpellier Hérault SC;AS Nancy-Lorraine;5;0;25/08/1990;;;1991;6
OGC Nice;Paris Saint-Germain;1;1;25/08/1990;;;1991;6
FC Metz;AS Saint-Etienne;3;1;25/08/1990;;;1991;6
LOSC Lille;AS Cannes;0;2;25/08/1990;;;1991;6
SC Toulon;Stade Rennais FC;1;0;25/08/1990;;;1991;6
Olympique de Marseille;Girondins de Bordeaux;2;0;29/08/1990;;;1991;7
Stade Brestois 29;Montpellier Hérault SC;1;1;29/08/1990;;;1991;7
AS Saint-Etienne;SM Caen;0;0;29/08/1990;;;1991;7
AS Monaco;LOSC Lille;1;1;29/08/1990;;;1991;7
AS Nancy-Lorraine;AJ Auxerre;1;1;29/08/1990;;;1991;7
Paris Saint-Germain;Olympique Lyonnais;3;0;29/08/1990;;;1991;7
AS Cannes;FC Metz;0;1;29/08/1990;;;1991;7
Toulouse FC;FC Nantes;2;0;29/08/1990;;;1991;7
Stade Rennais FC;OGC Nice;0;3;29/08/1990;;;1991;7
FC Sochaux-Montbéliard;SC Toulon;0;0;29/08/1990;;;1991;7
Olympique de Marseille;Paris Saint-Germain;2;1;08/09/1990;;;1991;8
SM Caen;AS Nancy-Lorraine;4;1;08/09/1990;;;1991;8
AJ Auxerre;Stade Rennais FC;4;0;08/09/1990;;;1991;8
FC Metz;AS Monaco;1;1;08/09/1990;;;1991;8
Olympique Lyonnais;Stade Brestois 29;2;0;08/09/1990;;;1991;8
LOSC Lille;AS Saint-Etienne;3;2;08/09/1990;;;1991;8
Girondins de Bordeaux;Toulouse FC;2;1;08/09/1990;;;1991;8
FC Nantes;AS Cannes;1;0;08/09/1990;;;1991;8
OGC Nice;FC Sochaux-Montbéliard;3;0;08/09/1990;;;1991;8
Montpellier Hérault SC;SC Toulon;0;0;08/09/1990;;;1991;8
OGC Nice;AS Monaco;0;0;14/09/1990;;;1991;9
Toulouse FC;Olympique de Marseille;0;2;15/09/1990;;;1991;9
FC Sochaux-Montbéliard;AJ Auxerre;0;1;15/09/1990;;;1991;9
Paris Saint-Germain;SM Caen;3;2;15/09/1990;;;1991;9
Stade Brestois 29;FC Metz;1;0;15/09/1990;;;1991;9
AS Saint-Etienne;Olympique Lyonnais;0;1;15/09/1990;;;1991;9
Stade Rennais FC;Montpellier Hérault SC;1;2;15/09/1990;;;1991;9
AS Nancy-Lorraine;FC Nantes;3;2;15/09/1990;;;1991;9
AS Cannes;Girondins de Bordeaux;1;1;15/09/1990;;;1991;9
SC Toulon;LOSC Lille;0;0;15/09/1990;;;1991;9
Olympique de Marseille;AS Cannes;0;1;22/09/1990;;;1991;10
SM Caen;AS Monaco;0;2;22/09/1990;;;1991;10
Olympique Lyonnais;Stade Rennais FC;0;0;22/09/1990;;;1991;10
FC Metz;Paris Saint-Germain;2;2;22/09/1990;;;1991;10
LOSC Lille;Stade Brestois 29;1;0;22/09/1990;;;1991;10
FC Nantes;AS Saint-Etienne;2;1;22/09/1990;;;1991;10
Girondins de Bordeaux;FC Sochaux-Montbéliard;1;0;22/09/1990;;;1991;10
Toulouse FC;AS Nancy-Lorraine;0;0;22/09/1990;;;1991;10
OGC Nice;SC Toulon;0;0;22/09/1990;;;1991;10
AJ Auxerre;Montpellier Hérault SC;3;2;23/09/1990;;;1991;10
AS Monaco;Olympique de Marseille;1;3;28/09/1990;;;1991;11
Stade Brestois 29;SM Caen;5;0;29/09/1990;;;1991;11
Montpellier Hérault SC;OGC Nice;3;0;29/09/1990;;;1991;11
Paris Saint-Germain;FC Nantes;1;1;29/09/1990;;;1991;11
Stade Rennais FC;FC Metz;0;2;29/09/1990;;;1991;11
FC Sochaux-Montbéliard;LOSC Lille;0;0;29/09/1990;;;1991;11
AS Nancy-Lorraine;Olympique Lyonnais;2;0;29/09/1990;;;1991;11
AS Saint-Etienne;Girondins de Bordeaux;0;0;29/09/1990;;;1991;11
AS Cannes;Toulouse FC;0;0;29/09/1990;;;1991;11
SC Toulon;AJ Auxerre;2;3;29/09/1990;;;1991;11
FC Nantes;Stade Brestois 29;1;0;05/10/1990;;;1991;12
LOSC Lille;Stade Rennais FC;1;1;05/10/1990;;;1991;12
Olympique de Marseille;AS Saint-Etienne;3;1;06/10/1990;;;1991;12
OGC Nice;AJ Auxerre;1;1;06/10/1990;;;1991;12
AS Cannes;AS Monaco;1;2;06/10/1990;;;1991;12
FC Metz;AS Nancy-Lorraine;4;0;06/10/1990;;;1991;12
Olympique Lyonnais;Montpellier Hérault SC;3;3;06/10/1990;;;1991;12
SM Caen;SC Toulon;2;0;06/10/1990;;;1991;12
Girondins de Bordeaux;Paris Saint-Germain;3;0;06/10/1990;;;1991;12
Toulouse FC;FC Sochaux-Montbéliard;0;0;06/10/1990;;;1991;12
AS Monaco;Toulouse FC;2;1;19/10/1990;;;1991;13
Stade Brestois 29;Girondins de Bordeaux;4;0;19/10/1990;;;1991;13
FC Sochaux-Montbéliard;Olympique de Marseille;2;1;20/10/1990;;;1991;13
AJ Auxerre;Olympique Lyonnais;1;0;20/10/1990;;;1991;13
Montpellier Hérault SC;FC Metz;5;2;20/10/1990;;;1991;13
Paris Saint-Germain;LOSC Lille;2;0;20/10/1990;;;1991;13
Stade Rennais FC;SM Caen;1;1;20/10/1990;;;1991;13
AS Nancy-Lorraine;OGC Nice;2;1;20/10/1990;;;1991;13
AS Saint-Etienne;AS Cannes;1;0;20/10/1990;;;1991;13
SC Toulon;FC Nantes;3;1;20/10/1990;;;1991;13
SM Caen;AJ Auxerre;0;1;26/10/1990;;;1991;14
Girondins de Bordeaux;AS Nancy-Lorraine;5;0;27/10/1990;;;1991;14
FC Nantes;Stade Rennais FC;2;0;27/10/1990;;;1991;14
LOSC Lille;Montpellier Hérault SC;1;0;27/10/1990;;;1991;14
Olympique Lyonnais;OGC Nice;1;0;27/10/1990;;;1991;14
Toulouse FC;AS Saint-Etienne;0;0;27/10/1990;;;1991;14
AS Cannes;FC Sochaux-Montbéliard;1;1;27/10/1990;;;1991;14
FC Metz;SC Toulon;0;0;27/10/1990;;;1991;14
AS Monaco;Paris Saint-Germain;2;0;28/10/1990;;;1991;14
Olympique de Marseille;Stade Brestois 29;3;1;28/10/1990;;;1991;14
Stade Rennais FC;Girondins de Bordeaux;2;1;02/11/1990;;;1991;15
Montpellier Hérault SC;SM Caen;0;0;02/11/1990;;;1991;15
AJ Auxerre;LOSC Lille;3;2;03/11/1990;;;1991;15
AS Nancy-Lorraine;Olympique de Marseille;2;0;03/11/1990;;;1991;15
AS Saint-Etienne;AS Monaco;1;0;03/11/1990;;;1991;15
OGC Nice;FC Metz;1;2;03/11/1990;;;1991;15
Stade Brestois 29;Toulouse FC;0;0;03/11/1990;;;1991;15
FC Sochaux-Montbéliard;FC Nantes;1;1;03/11/1990;;;1991;15
Paris Saint-Germain;AS Cannes;0;0;03/11/1990;;;1991;15
SC Toulon;Olympique Lyonnais;1;0;03/11/1990;;;1991;15
AS Monaco;FC Sochaux-Montbéliard;1;0;10/11/1990;;;1991;16
AS Cannes;Stade Brestois 29;0;0;10/11/1990;;;1991;16
SM Caen;Olympique Lyonnais;1;0;10/11/1990;;;1991;16
FC Nantes;Montpellier Hérault SC;1;1;10/11/1990;;;1991;16
LOSC Lille;OGC Nice;0;0;10/11/1990;;;1991;16
Toulouse FC;Paris Saint-Germain;2;1;10/11/1990;;;1991;16
AS Saint-Etienne;AS Nancy-Lorraine;4;1;10/11/1990;;;1991;16
FC Metz;AJ Auxerre;1;0;10/11/1990;;;1991;16
Girondins de Bordeaux;SC Toulon;0;1;10/11/1990;;;1991;16
Olympique de Marseille;Stade Rennais FC;4;1;11/11/1990;;;1991;16
Stade Brestois 29;AS Monaco;1;2;23/11/1990;;;1991;17
AJ Auxerre;FC Nantes;0;2;24/11/1990;;;1991;17
FC Sochaux-Montbéliard;FC Metz;1;1;24/11/1990;;;1991;17
Montpellier Hérault SC;Girondins de Bordeaux;2;1;24/11/1990;;;1991;17
OGC Nice;SM Caen;0;0;24/11/1990;;;1991;17
Paris Saint-Germain;AS Saint-Etienne;4;2;24/11/1990;;;1991;17
Olympique Lyonnais;LOSC Lille;2;1;24/11/1990;;;1991;17
Stade Rennais FC;Toulouse FC;2;0;24/11/1990;;;1991;17
AS Nancy-Lorraine;AS Cannes;2;0;24/11/1990;;;1991;17
SC Toulon;Olympique de Marseille;0;1;24/11/1990;;;1991;17
Olympique de Marseille;Montpellier Hérault SC;2;0;02/12/1990;;;1991;18
Girondins de Bordeaux;AJ Auxerre;1;1;02/12/1990;;;1991;18
AS Monaco;AS Nancy-Lorraine;2;2;02/12/1990;;;1991;18
FC Metz;Olympique Lyonnais;1;2;02/12/1990;;;1991;18
FC Nantes;OGC Nice;2;2;02/12/1990;;;1991;18
LOSC Lille;SM Caen;1;0;02/12/1990;;;1991;18
AS Saint-Etienne;Stade Brestois 29;6;1;02/12/1990;;;1991;18
Paris Saint-Germain;FC Sochaux-Montbéliard;0;2;02/12/1990;;;1991;18
AS Cannes;Stade Rennais FC;1;0;02/12/1990;;;1991;18
Toulouse FC;SC Toulon;1;1;02/12/1990;;;1991;18
Stade Rennais FC;AS Monaco;1;1;07/12/1990;;;1991;19
OGC Nice;Girondins de Bordeaux;0;0;07/12/1990;;;1991;19
AJ Auxerre;Olympique de Marseille;4;0;09/12/1990;;;1991;19
Montpellier Hérault SC;Toulouse FC;2;0;09/12/1990;;;1991;19
SM Caen;FC Metz;4;1;09/12/1990;;;1991;19
AS Nancy-Lorraine;LOSC Lille;1;1;09/12/1990;;;1991;19
FC Sochaux-Montbéliard;AS Saint-Etienne;2;0;09/12/1990;;;1991;19
SC Toulon;AS Cannes;0;0;09/12/1990;;;1991;19
Stade Brestois 29;Paris Saint-Germain;0;0;23/01/1991;;;1991;19
Olympique Lyonnais;FC Nantes;2;0;30/01/1991;;;1991;19
Olympique de Marseille;FC Metz;3;0;16/12/1990;;;1991;20
AS Monaco;AJ Auxerre;0;0;16/12/1990;;;1991;20
Girondins de Bordeaux;SM Caen;1;1;16/12/1990;;;1991;20
FC Nantes;LOSC Lille;0;0;16/12/1990;;;1991;20
AS Cannes;Olympique Lyonnais;3;2;16/12/1990;;;1991;20
Stade Brestois 29;AS Nancy-Lorraine;3;3;16/12/1990;;;1991;20
Paris Saint-Germain;Stade Rennais FC;1;1;16/12/1990;;;1991;20
Toulouse FC;OGC Nice;1;2;16/12/1990;;;1991;20
FC Sochaux-Montbéliard;Montpellier Hérault SC;0;0;23/01/1991;;;1991;20
AS Saint-Etienne;SC Toulon;3;0;23/01/1991;;;1991;20
AJ Auxerre;AS Cannes;0;3;21/12/1990;;;1991;21
SC Toulon;Paris Saint-Germain;0;0;22/12/1990;;;1991;21
SM Caen;Olympique de Marseille;0;0;23/12/1990;;;1991;21
Montpellier Hérault SC;AS Monaco;2;1;23/12/1990;;;1991;21
Olympique Lyonnais;Toulouse FC;4;1;23/12/1990;;;1991;21
LOSC Lille;Girondins de Bordeaux;0;0;23/12/1990;;;1991;21
Stade Rennais FC;Stade Brestois 29;3;0;23/12/1990;;;1991;21
OGC Nice;AS Saint-Etienne;2;0;23/12/1990;;;1991;21
FC Metz;FC Nantes;2;0;23/01/1991;;;1991;21
AS Nancy-Lorraine;FC Sochaux-Montbéliard;2;0;30/01/1991;;;1991;21
Olympique de Marseille;Olympique Lyonnais;7;0;13/01/1991;;;1991;22
AS Monaco;FC Nantes;2;1;13/01/1991;;;1991;22
AS Saint-Etienne;AJ Auxerre;2;1;13/01/1991;;;1991;22
Paris Saint-Germain;Montpellier Hérault SC;2;0;13/01/1991;;;1991;22
FC Sochaux-Montbéliard;SM Caen;1;0;13/01/1991;;;1991;22
AS Cannes;OGC Nice;2;1;13/01/1991;;;1991;22
Toulouse FC;LOSC Lille;2;2;13/01/1991;;;1991;22
Girondins de Bordeaux;FC Metz;1;1;13/01/1991;;;1991;22
AS Nancy-Lorraine;Stade Rennais FC;0;0;13/01/1991;;;1991;22
Stade Brestois 29;SC Toulon;2;2;13/01/1991;;;1991;22
Olympique Lyonnais;AS Monaco;1;0;18/01/1991;;;1991;23
FC Nantes;Girondins de Bordeaux;0;0;19/01/1991;;;1991;23
LOSC Lille;Olympique de Marseille;1;0;20/01/1991;;;1991;23
AJ Auxerre;Paris Saint-Germain;0;1;20/01/1991;;;1991;23
Montpellier Hérault SC;AS Saint-Etienne;0;0;20/01/1991;;;1991;23
SM Caen;AS Cannes;0;1;20/01/1991;;;1991;23
FC Metz;Toulouse FC;2;1;20/01/1991;;;1991;23
Stade Rennais FC;FC Sochaux-Montbéliard;1;1;20/01/1991;;;1991;23
OGC Nice;Stade Brestois 29;2;0;20/01/1991;;;1991;23
SC Toulon;AS Nancy-Lorraine;2;0;20/01/1991;;;1991;23
Toulouse FC;SM Caen;3;2;26/01/1991;;;1991;24
Olympique de Marseille;FC Nantes;6;0;27/01/1991;;;1991;24
AS Monaco;Girondins de Bordeaux;2;0;27/01/1991;;;1991;24
Stade Brestois 29;AJ Auxerre;1;3;27/01/1991;;;1991;24
AS Nancy-Lorraine;Montpellier Hérault SC;1;1;27/01/1991;;;1991;24
AS Cannes;LOSC Lille;2;1;27/01/1991;;;1991;24
AS Saint-Etienne;FC Metz;2;1;27/01/1991;;;1991;24
FC Sochaux-Montbéliard;Olympique Lyonnais;1;2;27/01/1991;;;1991;24
Paris Saint-Germain;OGC Nice;0;2;27/01/1991;;;1991;24
Stade Rennais FC;SC Toulon;0;0;27/01/1991;;;1991;24
Girondins de Bordeaux;Olympique de Marseille;1;1;01/02/1991;;;1991;25
SM Caen;AS Saint-Etienne;1;0;02/02/1991;;;1991;25
LOSC Lille;AS Monaco;0;0;03/02/1991;;;1991;25
AJ Auxerre;AS Nancy-Lorraine;1;1;03/02/1991;;;1991;25
Montpellier Hérault SC;Stade Brestois 29;1;0;03/02/1991;;;1991;25
Olympique Lyonnais;Paris Saint-Germain;0;0;03/02/1991;;;1991;25
FC Metz;AS Cannes;0;0;03/02/1991;;;1991;25
OGC Nice;Stade Rennais FC;2;2;03/02/1991;;;1991;25
FC Nantes;Toulouse FC;0;0;03/02/1991;;;1991;25
SC Toulon;FC Sochaux-Montbéliard;1;0;03/02/1991;;;1991;25
SC Toulon;Montpellier Hérault SC;1;1;08/02/1991;;;1991;26
AS Monaco;FC Metz;2;0;09/02/1991;;;1991;26
Paris Saint-Germain;Olympique de Marseille;0;1;10/02/1991;;;1991;26
Stade Rennais FC;AJ Auxerre;2;2;10/02/1991;;;1991;26
AS Cannes;FC Nantes;2;1;10/02/1991;;;1991;26
AS Saint-Etienne;LOSC Lille;0;0;10/02/1991;;;1991;26
Toulouse FC;Girondins de Bordeaux;0;0;10/02/1991;;;1991;26
Stade Brestois 29;Olympique Lyonnais;3;0;27/02/1991;;;1991;26
FC Sochaux-Montbéliard;OGC Nice;0;0;05/03/1991;;;1991;26
AS Nancy-Lorraine;SM Caen;0;0;05/03/1991;;;1991;26
Olympique de Marseille;Toulouse FC;1;0;13/02/1991;;;1991;27
AS Monaco;OGC Nice;2;1;13/02/1991;;;1991;27
Montpellier Hérault SC;Stade Rennais FC;1;0;13/02/1991;;;1991;27
Girondins de Bordeaux;AS Cannes;1;1;13/02/1991;;;1991;27
SM Caen;Paris Saint-Germain;2;0;13/02/1991;;;1991;27
FC Nantes;AS Nancy-Lorraine;1;0;27/02/1991;;;1991;27
LOSC Lille;SC Toulon;4;1;27/02/1991;;;1991;27
AJ Auxerre;FC Sochaux-Montbéliard;4;1;12/03/1991;;;1991;27
FC Metz;Stade Brestois 29;0;0;12/03/1991;;;1991;27
Olympique Lyonnais;AS Saint-Etienne;1;1;26/03/1991;;;1991;27
Montpellier Hérault SC;AJ Auxerre;1;2;23/02/1991;;;1991;28
AS Cannes;Olympique de Marseille;0;0;24/02/1991;;;1991;28
AS Monaco;SM Caen;2;0;24/02/1991;;;1991;28
Stade Rennais FC;Olympique Lyonnais;2;0;24/02/1991;;;1991;28
Paris Saint-Germain;FC Metz;2;1;24/02/1991;;;1991;28
Stade Brestois 29;LOSC Lille;1;0;24/02/1991;;;1991;28
AS Saint-Etienne;FC Nantes;1;3;24/02/1991;;;1991;28
FC Sochaux-Montbéliard;Girondins de Bordeaux;1;0;24/02/1991;;;1991;28
AS Nancy-Lorraine;Toulouse FC;1;1;24/02/1991;;;1991;28
SC Toulon;OGC Nice;1;2;24/02/1991;;;1991;28
Olympique de Marseille;AS Monaco;1;0;01/03/1991;;;1991;29
OGC Nice;Montpellier Hérault SC;2;0;01/03/1991;;;1991;29
Toulouse FC;AS Cannes;2;2;02/03/1991;;;1991;29
FC Nantes;Paris Saint-Germain;2;0;02/03/1991;;;1991;29
LOSC Lille;FC Sochaux-Montbéliard;0;1;02/03/1991;;;1991;29
FC Metz;Stade Rennais FC;2;0;02/03/1991;;;1991;29
Olympique Lyonnais;AS Nancy-Lorraine;0;1;02/03/1991;;;1991;29
SM Caen;Stade Brestois 29;1;2;02/03/1991;;;1991;29
Girondins de Bordeaux;AS Saint-Etienne;2;1;02/03/1991;;;1991;29
AJ Auxerre;SC Toulon;3;0;02/03/1991;;;1991;29
Montpellier Hérault SC;Olympique Lyonnais;1;0;14/03/1991;;;1991;30
AS Saint-Etienne;Olympique de Marseille;1;1;15/03/1991;;;1991;30
AS Nancy-Lorraine;FC Metz;0;1;15/03/1991;;;1991;30
AJ Auxerre;OGC Nice;5;1;15/03/1991;;;1991;30
AS Monaco;AS Cannes;0;0;15/03/1991;;;1991;30
Stade Rennais FC;LOSC Lille;1;3;16/03/1991;;;1991;30
Stade Brestois 29;FC Nantes;1;0;16/03/1991;;;1991;30
Paris Saint-Germain;Girondins de Bordeaux;1;0;16/03/1991;;;1991;30
FC Sochaux-Montbéliard;Toulouse FC;0;1;16/03/1991;;;1991;30
SC Toulon;SM Caen;0;0;16/03/1991;;;1991;30
OGC Nice;AS Nancy-Lorraine;3;0;22/03/1991;;;1991;31
Olympique de Marseille;FC Sochaux-Montbéliard;0;0;23/03/1991;;;1991;31
Toulouse FC;AS Monaco;1;2;23/03/1991;;;1991;31
Olympique Lyonnais;AJ Auxerre;1;0;23/03/1991;;;1991;31
FC Metz;Montpellier Hérault SC;0;0;23/03/1991;;;1991;31
AS Cannes;AS Saint-Etienne;0;1;23/03/1991;;;1991;31
Girondins de Bordeaux;Stade Brestois 29;1;4;23/03/1991;;;1991;31
LOSC Lille;Paris Saint-Germain;0;0;23/03/1991;;;1991;31
SM Caen;Stade Rennais FC;2;0;23/03/1991;;;1991;31
FC Nantes;SC Toulon;0;0;23/03/1991;;;1991;31
Paris Saint-Germain;AS Monaco;0;2;06/04/1991;;;1991;32
AJ Auxerre;SM Caen;3;0;06/04/1991;;;1991;32
Montpellier Hérault SC;LOSC Lille;1;2;06/04/1991;;;1991;32
FC Sochaux-Montbéliard;AS Cannes;0;0;06/04/1991;;;1991;32
OGC Nice;Olympique Lyonnais;1;1;06/04/1991;;;1991;32
Stade Rennais FC;FC Nantes;2;0;06/04/1991;;;1991;32
AS Nancy-Lorraine;Girondins de Bordeaux;0;2;06/04/1991;;;1991;32
AS Saint-Etienne;Toulouse FC;1;4;06/04/1991;;;1991;32
SC Toulon;FC Metz;2;1;06/04/1991;;;1991;32
Stade Brestois 29;Olympique de Marseille;1;1;01/05/1991;;;1991;32
