club_domicile;club_exterieur;score_domicile;score_exterieur;date;heure;groupe;saison;journee
Perpignan FC;Stade Français;1;1;29/03/1959;;;1959;29
AS Aixoise;Red Star  F.C;4;0;29/03/1959;;;1959;29
Besançon RC;FC Metz;3;0;29/03/1959;;;1959;29
AS Béziers;FC Rouen 1899;1;2;29/03/1959;;;1959;29
Stade Français;GF38;2;0;05/04/1959;;;1959;30
Troyes ASTS;Perpignan FC;1;1;05/04/1959;;;1959;30
FC Rouen 1899;SO Montpelliérain;3;2;05/04/1959;;;1959;30
FC Metz;AS Béziers;0;0;05/04/1959;;;1959;30
Red Star  F.C;Besançon RC;1;1;05/04/1959;;;1959;30
AS Cannes;Forbach;4;0;05/04/1959;;;1959;30
FC Sète 34;Havre AC;2;1;05/04/1959;;;1959;30
Girondins de Bordeaux;RC Roubaix;0;2;05/04/1959;;;1959;30
AS Aixoise;CA Paris;1;2;05/04/1959;;;1959;30
SC Toulon;FC Nantes;1;1;05/04/1959;;;1959;30
CA Paris;Besançon RC;1;6;18/04/1959;;;1959;31
GF38;Troyes ASTS;1;1;18/04/1959;;;1959;31
RC Roubaix;AS Aixoise;1;0;19/04/1959;;;1959;31
Havre AC;Girondins de Bordeaux;3;1;19/04/1959;;;1959;31
Forbach;FC Sète 34;6;0;19/04/1959;;;1959;31
FC Nantes;AS Cannes;0;0;19/04/1959;;;1959;31
AS Béziers;Red Star  F.C;2;0;19/04/1959;;;1959;31
SO Montpelliérain;FC Metz;2;2;19/04/1959;;;1959;31
Perpignan FC;FC Rouen 1899;1;0;19/04/1959;;;1959;31
SC Toulon;Stade Français;2;1;19/04/1959;;;1959;31
CA Paris;FC Nantes;0;2;26/04/1959;;;1959;32
RC Roubaix;FC Metz;1;2;26/04/1959;;;1959;32
Troyes ASTS;Havre AC;2;0;26/04/1959;;;1959;32
FC Rouen 1899;Stade Français;1;3;26/04/1959;;;1959;32
Red Star  F.C;Forbach;0;2;26/04/1959;;;1959;32
AS Cannes;SO Montpelliérain;0;1;26/04/1959;;;1959;32
FC Sète 34;Girondins de Bordeaux;0;1;26/04/1959;;;1959;32
Perpignan FC;SC Toulon;2;0;26/04/1959;;;1959;32
AS Aixoise;GF38;1;3;26/04/1959;;;1959;32
Besançon RC;AS Béziers;6;2;26/04/1959;;;1959;32
Stade Français;CA Paris;3;0;01/05/1959;;;1959;33
FC Metz;Red Star  F.C;8;0;01/05/1959;;;1959;33
AS Béziers;FC Sète 34;0;1;01/05/1959;;;1959;33
GF38;Besançon RC;3;1;01/05/1959;;;1959;33
Forbach;FC Rouen 1899;3;3;03/05/1959;;;1959;33
FC Nantes;Troyes ASTS;1;1;03/05/1959;;;1959;33
SO Montpelliérain;Perpignan FC;4;0;03/05/1959;;;1959;33
Girondins de Bordeaux;AS Cannes;3;2;03/05/1959;;;1959;33
SC Toulon;AS Aixoise;5;2;03/05/1959;;;1959;33
Havre AC;RC Roubaix;3;2;13/05/1959;;;1959;33
FC Nantes;Havre AC;1;0;06/05/1959;;;1959;34
Stade Français;Forbach;4;2;07/05/1959;;;1959;34
CA Paris;FC Metz;0;0;07/05/1959;;;1959;34
Troyes ASTS;Red Star  F.C;0;0;07/05/1959;;;1959;34
FC Rouen 1899;RC Roubaix;5;1;07/05/1959;;;1959;34
AS Cannes;GF38;3;0;07/05/1959;;;1959;34
FC Sète 34;SC Toulon;1;0;07/05/1959;;;1959;34
Perpignan FC;AS Béziers;2;1;07/05/1959;;;1959;34
AS Aixoise;Girondins de Bordeaux;3;6;07/05/1959;;;1959;34
Besançon RC;SO Montpelliérain;0;0;07/05/1959;;;1959;34
RC Roubaix;Troyes ASTS;1;3;10/05/1959;;;1959;35
Forbach;CA Paris;7;0;10/05/1959;;;1959;35
FC Metz;FC Nantes;1;1;10/05/1959;;;1959;35
Red Star  F.C;FC Rouen 1899;0;3;10/05/1959;;;1959;35
AS Béziers;SC Toulon;4;3;10/05/1959;;;1959;35
SO Montpelliérain;AS Aixoise;2;0;10/05/1959;;;1959;35
Girondins de Bordeaux;Perpignan FC;1;1;10/05/1959;;;1959;35
GF38;FC Sète 34;3;0;10/05/1959;;;1959;35
Besançon RC;AS Cannes;3;3;10/05/1959;;;1959;35
Havre AC;Stade Français;3;1;21/05/1959;;;1959;35
AS Aixoise;AS Béziers;2;3;16/05/1959;;;1959;36
RC Roubaix;Forbach;3;1;17/05/1959;;;1959;36
FC Rouen 1899;FC Nantes;4;2;17/05/1959;;;1959;36
FC Metz;Troyes ASTS;1;4;17/05/1959;;;1959;36
Red Star  F.C;Stade Français;0;2;17/05/1959;;;1959;36
AS Cannes;Perpignan FC;1;1;17/05/1959;;;1959;36
FC Sète 34;Besançon RC;1;1;17/05/1959;;;1959;36
Girondins de Bordeaux;SO Montpelliérain;2;1;17/05/1959;;;1959;36
SC Toulon;GF38;6;0;17/05/1959;;;1959;36
CA Paris;Havre AC;2;1;27/05/1959;;;1959;36
FC Nantes;AS Aixoise;3;4;23/05/1959;;;1959;37
Stade Français;Girondins de Bordeaux;3;6;24/05/1959;;;1959;37
Troyes ASTS;FC Sète 34;1;2;24/05/1959;;;1959;37
FC Rouen 1899;AS Cannes;1;1;24/05/1959;;;1959;37
Havre AC;AS Béziers;1;1;24/05/1959;;;1959;37
Forbach;Besançon RC;1;0;24/05/1959;;;1959;37
SO Montpelliérain;RC Roubaix;2;0;24/05/1959;;;1959;37
Perpignan FC;CA Paris;5;1;24/05/1959;;;1959;37
GF38;Red Star  F.C;4;0;24/05/1959;;;1959;37
SC Toulon;FC Metz;1;2;24/05/1959;;;1959;37
RC Roubaix;CA Paris;2;3;31/05/1959;;;1959;38
Troyes ASTS;FC Rouen 1899;1;1;31/05/1959;;;1959;38
Forbach;FC Nantes;4;2;31/05/1959;;;1959;38
FC Metz;Stade Français;1;5;31/05/1959;;;1959;38
Red Star  F.C;Havre AC;2;1;31/05/1959;;;1959;38
AS Béziers;SO Montpelliérain;2;1;31/05/1959;;;1959;38
FC Sète 34;AS Cannes;2;1;31/05/1959;;;1959;38
Perpignan FC;AS Aixoise;1;1;31/05/1959;;;1959;38
Girondins de Bordeaux;GF38;2;0;31/05/1959;;;1959;38
Besançon RC;SC Toulon;2;3;31/05/1959;;;1959;38
GF38;Troyes ASTS;2;0;15/08/1959;;;1960;1
Olympique d'Alès;CA Paris;4;0;15/08/1959;;;1960;1
AS Béziers;Besançon RC;1;1;15/08/1959;;;1960;1
Forbach;LOSC Lille;1;1;16/08/1959;;;1960;1
FC Nancy;Olympique de Marseille;2;0;16/08/1959;;;1960;1
RC Roubaix;US Boulogne CO;1;1;16/08/1959;;;1960;1
Red Star  F.C;SO Montpelliérain;3;1;16/08/1959;;;1960;1
AS Cannes;FC Sète 34;1;3;16/08/1959;;;1960;1
AS Aixoise;FC Metz;1;2;16/08/1959;;;1960;1
FC Nantes;FC Rouen 1899;2;0;18/08/1959;;;1960;1
FC Metz;FC Nantes;2;1;22/08/1959;;;1960;2
LOSC Lille;AS Aixoise;3;1;23/08/1959;;;1960;2
US Boulogne CO;Red Star  F.C;0;1;23/08/1959;;;1960;2
CA Paris;AS Béziers;3;2;23/08/1959;;;1960;2
Besançon RC;Olympique d'Alès;1;0;23/08/1959;;;1960;2
FC Rouen 1899;AS Cannes;6;1;23/08/1959;;;1960;2
Troyes ASTS;RC Roubaix;3;4;23/08/1959;;;1960;2
Olympique de Marseille;Forbach;3;2;23/08/1959;;;1960;2
SO Montpelliérain;FC Nancy;0;0;23/08/1959;;;1960;2
FC Sète 34;GF38;3;2;23/08/1959;;;1960;2
FC Nantes;FC Sète 34;2;0;29/08/1959;;;1960;3
Forbach;FC Rouen 1899;2;0;30/08/1959;;;1960;3
FC Nancy;CA Paris;4;2;30/08/1959;;;1960;3
RC Roubaix;GF38;4;0;30/08/1959;;;1960;3
US Boulogne CO;LOSC Lille;2;2;30/08/1959;;;1960;3
Red Star  F.C;Olympique de Marseille;0;1;30/08/1959;;;1960;3
AS Cannes;Troyes ASTS;3;0;30/08/1959;;;1960;3
AS Aixoise;Besançon RC;3;2;30/08/1959;;;1960;3
Olympique d'Alès;FC Metz;2;0;30/08/1959;;;1960;3
AS Béziers;SO Montpelliérain;0;3;30/08/1959;;;1960;3
FC Metz;Besançon RC;0;2;05/09/1959;;;1960;4
FC Nantes;AS Cannes;3;0;05/09/1959;;;1960;4
CA Paris;AS Aixoise;6;1;05/09/1959;;;1960;4
LOSC Lille;Olympique d'Alès;2;2;06/09/1959;;;1960;4
Troyes ASTS;FC Sète 34;2;0;06/09/1959;;;1960;4
GF38;FC Nancy;2;2;06/09/1959;;;1960;4
Olympique de Marseille;RC Roubaix;1;0;06/09/1959;;;1960;4
SO Montpelliérain;Forbach;3;2;06/09/1959;;;1960;4
AS Béziers;US Boulogne CO;3;0;06/09/1959;;;1960;4
FC Rouen 1899;Red Star  F.C;2;0;08/09/1959;;;1960;4
Forbach;FC Nantes;1;5;13/09/1959;;;1960;5
FC Nancy;AS Béziers;4;4;13/09/1959;;;1960;5
RC Roubaix;AS Aixoise;4;1;13/09/1959;;;1960;5
US Boulogne CO;GF38;0;1;13/09/1959;;;1960;5
Red Star  F.C;LOSC Lille;0;1;13/09/1959;;;1960;5
Besançon RC;CA Paris;4;2;13/09/1959;;;1960;5
AS Cannes;FC Metz;2;1;13/09/1959;;;1960;5
Olympique de Marseille;FC Rouen 1899;3;1;13/09/1959;;;1960;5
Olympique d'Alès;Troyes ASTS;2;0;13/09/1959;;;1960;5
FC Sète 34;SO Montpelliérain;3;2;13/09/1959;;;1960;5
FC Metz;SO Montpelliérain;3;1;19/09/1959;;;1960;6
LOSC Lille;Olympique de Marseille;3;4;20/09/1959;;;1960;6
CA Paris;FC Rouen 1899;1;2;20/09/1959;;;1960;6
Besançon RC;FC Nancy;0;1;20/09/1959;;;1960;6
Troyes ASTS;AS Béziers;4;1;20/09/1959;;;1960;6
GF38;Red Star  F.C;1;1;20/09/1959;;;1960;6
AS Cannes;RC Roubaix;2;0;20/09/1959;;;1960;6
AS Aixoise;FC Nantes;0;1;20/09/1959;;;1960;6
Olympique d'Alès;US Boulogne CO;2;2;20/09/1959;;;1960;6
FC Sète 34;Forbach;1;1;20/09/1959;;;1960;6
FC Rouen 1899;Olympique d'Alès;4;0;23/09/1959;;;1960;7
AS Béziers;GF38;0;0;23/09/1959;;;1960;7
Forbach;CA Paris;5;1;24/09/1959;;;1960;7
FC Nancy;Troyes ASTS;2;1;24/09/1959;;;1960;7
RC Roubaix;Besançon RC;1;1;24/09/1959;;;1960;7
US Boulogne CO;FC Metz;2;2;24/09/1959;;;1960;7
Red Star  F.C;AS Aixoise;5;2;24/09/1959;;;1960;7
Olympique de Marseille;FC Sète 34;1;0;24/09/1959;;;1960;7
SO Montpelliérain;AS Cannes;2;0;24/09/1959;;;1960;7
FC Nantes;LOSC Lille;0;0;24/09/1959;;;1960;7
CA Paris;RC Roubaix;2;0;26/09/1959;;;1960;8
FC Metz;Forbach;1;0;27/09/1959;;;1960;8
LOSC Lille;FC Nancy;0;1;27/09/1959;;;1960;8
Besançon RC;FC Nantes;0;2;27/09/1959;;;1960;8
Troyes ASTS;US Boulogne CO;5;2;27/09/1959;;;1960;8
GF38;SO Montpelliérain;1;0;27/09/1959;;;1960;8
AS Cannes;Red Star  F.C;0;3;27/09/1959;;;1960;8
AS Aixoise;AS Béziers;1;2;27/09/1959;;;1960;8
Olympique d'Alès;Olympique de Marseille;3;1;27/09/1959;;;1960;8
FC Sète 34;FC Rouen 1899;3;0;27/09/1959;;;1960;8
AS Béziers;LOSC Lille;1;3;03/10/1959;;;1960;9
Forbach;GF38;4;1;04/10/1959;;;1960;9
RC Roubaix;FC Sète 34;0;1;04/10/1959;;;1960;9
US Boulogne CO;AS Aixoise;1;0;04/10/1959;;;1960;9
FC Nantes;CA Paris;0;1;04/10/1959;;;1960;9
Red Star  F.C;Olympique d'Alès;4;2;04/10/1959;;;1960;9
FC Rouen 1899;Besançon RC;2;3;04/10/1959;;;1960;9
Olympique de Marseille;FC Metz;1;1;04/10/1959;;;1960;9
SO Montpelliérain;Troyes ASTS;4;0;04/10/1959;;;1960;9
FC Nancy;AS Cannes;3;0;04/10/1959;;;1960;9
FC Nantes;Olympique de Marseille;4;2;10/10/1959;;;1960;10
FC Nancy;FC Rouen 1899;1;1;11/10/1959;;;1960;10
LOSC Lille;AS Cannes;2;0;11/10/1959;;;1960;10
CA Paris;SO Montpelliérain;1;2;11/10/1959;;;1960;10
Besançon RC;US Boulogne CO;5;0;11/10/1959;;;1960;10
Troyes ASTS;Red Star  F.C;3;1;11/10/1959;;;1960;10
GF38;AS Aixoise;1;2;11/10/1959;;;1960;10
Olympique d'Alès;RC Roubaix;2;2;11/10/1959;;;1960;10
FC Sète 34;FC Metz;0;2;11/10/1959;;;1960;10
Forbach;AS Béziers;1;0;11/10/1959;;;1960;10
FC Metz;Red Star  F.C;3;2;14/10/1959;;;1960;11
FC Rouen 1899;GF38;3;0;14/10/1959;;;1960;11
RC Roubaix;Forbach;3;3;15/10/1959;;;1960;11
FC Nantes;FC Nancy;0;0;15/10/1959;;;1960;11
CA Paris;US Boulogne CO;5;1;15/10/1959;;;1960;11
Besançon RC;Troyes ASTS;6;0;15/10/1959;;;1960;11
AS Cannes;Olympique d'Alès;0;0;15/10/1959;;;1960;11
AS Aixoise;FC Sète 34;1;1;15/10/1959;;;1960;11
SO Montpelliérain;LOSC Lille;4;0;15/10/1959;;;1960;11
AS Béziers;Olympique de Marseille;1;1;15/10/1959;;;1960;11
Forbach;Besançon RC;1;0;18/10/1959;;;1960;12
FC Nancy;FC Metz;1;1;18/10/1959;;;1960;12
LOSC Lille;RC Roubaix;2;2;18/10/1959;;;1960;12
US Boulogne CO;FC Rouen 1899;1;0;18/10/1959;;;1960;12
Red Star  F.C;CA Paris;3;1;18/10/1959;;;1960;12
Troyes ASTS;FC Nantes;4;1;18/10/1959;;;1960;12
GF38;AS Cannes;3;0;18/10/1959;;;1960;12
Olympique de Marseille;AS Aixoise;2;0;18/10/1959;;;1960;12
Olympique d'Alès;SO Montpelliérain;0;0;18/10/1959;;;1960;12
FC Sète 34;AS Béziers;1;1;18/10/1959;;;1960;12
FC Metz;AS Béziers;3;1;24/10/1959;;;1960;13
FC Nantes;SO Montpelliérain;3;3;24/10/1959;;;1960;13
RC Roubaix;Red Star  F.C;0;3;25/10/1959;;;1960;13
US Boulogne CO;Forbach;1;1;25/10/1959;;;1960;13
CA Paris;GF38;1;3;25/10/1959;;;1960;13
Besançon RC;AS Cannes;2;2;25/10/1959;;;1960;13
FC Rouen 1899;LOSC Lille;5;2;25/10/1959;;;1960;13
Olympique de Marseille;Troyes ASTS;0;0;25/10/1959;;;1960;13
AS Aixoise;FC Nancy;1;1;25/10/1959;;;1960;13
FC Sète 34;Olympique d'Alès;2;3;25/10/1959;;;1960;13
Red Star  F.C;FC Nantes;2;1;31/10/1959;;;1960;14
Forbach;Olympique d'Alès;1;1;01/11/1959;;;1960;14
FC Nancy;FC Sète 34;1;2;01/11/1959;;;1960;14
LOSC Lille;Besançon RC;1;0;01/11/1959;;;1960;14
FC Rouen 1899;AS Aixoise;4;0;01/11/1959;;;1960;14
Troyes ASTS;CA Paris;1;0;01/11/1959;;;1960;14
GF38;FC Metz;2;1;01/11/1959;;;1960;14
AS Cannes;Olympique de Marseille;2;1;01/11/1959;;;1960;14
SO Montpelliérain;US Boulogne CO;2;1;01/11/1959;;;1960;14
AS Béziers;RC Roubaix;2;2;01/11/1959;;;1960;14
CA Paris;LOSC Lille;3;1;01/07/1959;;;1960;15
FC Metz;FC Rouen 1899;0;1;08/11/1959;;;1960;15
RC Roubaix;FC Nancy;2;1;08/11/1959;;;1960;15
US Boulogne CO;Olympique de Marseille;0;1;08/11/1959;;;1960;15
FC Nantes;AS Béziers;1;0;08/11/1959;;;1960;15
Besançon RC;SO Montpelliérain;1;0;08/11/1959;;;1960;15
AS Cannes;Forbach;1;2;08/11/1959;;;1960;15
AS Aixoise;Troyes ASTS;0;3;08/11/1959;;;1960;15
Olympique d'Alès;GF38;0;0;08/11/1959;;;1960;15
FC Sète 34;Red Star  F.C;2;0;08/11/1959;;;1960;15
FC Metz;RC Roubaix;1;0;11/11/1959;;;1960;16
FC Nancy;US Boulogne CO;3;2;11/11/1959;;;1960;16
LOSC Lille;FC Sète 34;1;1;11/11/1959;;;1960;16
FC Rouen 1899;Troyes ASTS;3;2;11/11/1959;;;1960;16
GF38;Besançon RC;0;0;11/11/1959;;;1960;16
Olympique de Marseille;CA Paris;3;1;11/11/1959;;;1960;16
Olympique d'Alès;FC Nantes;0;1;11/11/1959;;;1960;16
SO Montpelliérain;AS Aixoise;4;1;11/11/1959;;;1960;16
AS Béziers;AS Cannes;1;0;11/11/1959;;;1960;16
Red Star  F.C;Forbach;7;1;25/12/1959;;;1960;16
CA Paris;FC Metz;1;0;14/11/1959;;;1960;17
Forbach;FC Nancy;0;0;15/11/1959;;;1960;17
RC Roubaix;FC Rouen 1899;1;1;15/11/1959;;;1960;17
US Boulogne CO;FC Sète 34;1;0;15/11/1959;;;1960;17
Besançon RC;Red Star  F.C;3;0;15/11/1959;;;1960;17
Troyes ASTS;LOSC Lille;1;0;15/11/1959;;;1960;17
GF38;FC Nantes;2;0;15/11/1959;;;1960;17
AS Aixoise;AS Cannes;1;1;15/11/1959;;;1960;17
SO Montpelliérain;Olympique de Marseille;3;0;15/11/1959;;;1960;17
AS Béziers;Olympique d'Alès;2;0;15/11/1959;;;1960;17
Red Star  F.C;AS Béziers;4;0;21/11/1959;;;1960;18
Forbach;AS Aixoise;4;0;22/11/1959;;;1960;18
FC Metz;Troyes ASTS;3;0;22/11/1959;;;1960;18
LOSC Lille;GF38;1;1;22/11/1959;;;1960;18
FC Nantes;RC Roubaix;2;1;22/11/1959;;;1960;18
FC Rouen 1899;SO Montpelliérain;9;0;22/11/1959;;;1960;18
AS Cannes;US Boulogne CO;1;1;22/11/1959;;;1960;18
Olympique de Marseille;Besançon RC;3;0;22/11/1959;;;1960;18
Olympique d'Alès;FC Nancy;3;2;22/11/1959;;;1960;18
FC Sète 34;CA Paris;3;1;22/11/1959;;;1960;18
FC Metz;LOSC Lille;1;1;29/11/1959;;;1960;19
FC Nancy;Red Star  F.C;1;0;29/11/1959;;;1960;19
US Boulogne CO;FC Nantes;1;1;29/11/1959;;;1960;19
CA Paris;AS Cannes;4;2;29/11/1959;;;1960;19
Besançon RC;FC Sète 34;3;1;29/11/1959;;;1960;19
Troyes ASTS;Forbach;3;0;29/11/1959;;;1960;19
GF38;Olympique de Marseille;3;1;29/11/1959;;;1960;19
AS Aixoise;Olympique d'Alès;2;0;29/11/1959;;;1960;19
SO Montpelliérain;RC Roubaix;4;1;29/11/1959;;;1960;19
AS Béziers;FC Rouen 1899;2;0;29/11/1959;;;1960;19
Red Star  F.C;GF38;1;0;05/12/1959;;;1960;20
LOSC Lille;Forbach;1;1;06/12/1959;;;1960;20
RC Roubaix;Olympique d'Alès;1;1;06/12/1959;;;1960;20
US Boulogne CO;FC Nancy;1;1;06/12/1959;;;1960;20
Besançon RC;FC Metz;0;0;06/12/1959;;;1960;20
FC Rouen 1899;CA Paris;2;1;06/12/1959;;;1960;20
Troyes ASTS;AS Aixoise;2;0;06/12/1959;;;1960;20
Olympique de Marseille;AS Cannes;2;4;06/12/1959;;;1960;20
SO Montpelliérain;AS Béziers;2;2;06/12/1959;;;1960;20
FC Sète 34;FC Nantes;0;0;06/12/1959;;;1960;20
CA Paris;Troyes ASTS;3;3;12/12/1959;;;1960;21
Forbach;FC Metz;1;1;13/12/1959;;;1960;21
FC Nancy;LOSC Lille;3;2;13/12/1959;;;1960;21
RC Roubaix;Olympique de Marseille;4;1;13/12/1959;;;1960;21
FC Nantes;Besançon RC;0;2;13/12/1959;;;1960;21
GF38;FC Rouen 1899;2;1;13/12/1959;;;1960;21
AS Cannes;AS Béziers;4;2;13/12/1959;;;1960;21
AS Aixoise;SO Montpelliérain;1;1;13/12/1959;;;1960;21
Olympique d'Alès;Red Star  F.C;0;0;13/12/1959;;;1960;21
FC Sète 34;US Boulogne CO;2;0;13/12/1959;;;1960;21
Forbach;US Boulogne CO;0;1;20/12/1959;;;1960;22
FC Metz;CA Paris;1;0;20/12/1959;;;1960;22
LOSC Lille;FC Nantes;4;0;20/12/1959;;;1960;22
Red Star  F.C;FC Nancy;0;1;20/12/1959;;;1960;22
Besançon RC;GF38;0;1;20/12/1959;;;1960;22
FC Rouen 1899;RC Roubaix;3;2;20/12/1959;;;1960;22
Troyes ASTS;AS Cannes;2;0;20/12/1959;;;1960;22
Olympique de Marseille;Olympique d'Alès;2;1;20/12/1959;;;1960;22
SO Montpelliérain;FC Sète 34;1;1;20/12/1959;;;1960;22
AS Béziers;AS Aixoise;3;1;20/12/1959;;;1960;22
FC Nancy;Forbach;1;0;03/01/1960;;;1960;23
GF38;AS Béziers;4;0;03/01/1960;;;1960;23
Olympique de Marseille;FC Nantes;2;2;03/01/1960;;;1960;23
AS Aixoise;Red Star  F.C;1;0;03/01/1960;;;1960;23
Olympique d'Alès;LOSC Lille;2;1;03/01/1960;;;1960;23
FC Sète 34;Troyes ASTS;0;2;03/01/1960;;;1960;23
RC Roubaix;FC Metz;0;1;14/01/1960;;;1960;23
AS Cannes;FC Rouen 1899;1;1;14/01/1960;;;1960;23
US Boulogne CO;SO Montpelliérain;3;2;25/02/1960;;;1960;23
CA Paris;Besançon RC;1;2;25/02/1960;;;1960;23
Red Star  F.C;FC Sète 34;1;0;09/01/1960;;;1960;24
FC Metz;AS Aixoise;2;0;10/01/1960;;;1960;24
LOSC Lille;US Boulogne CO;2;1;10/01/1960;;;1960;24
Besançon RC;RC Roubaix;4;0;10/01/1960;;;1960;24
FC Rouen 1899;Forbach;3;1;10/01/1960;;;1960;24
Troyes ASTS;Olympique d'Alès;0;2;10/01/1960;;;1960;24
AS Cannes;FC Nancy;1;1;10/01/1960;;;1960;24
Olympique de Marseille;GF38;0;2;10/01/1960;;;1960;24
SO Montpelliérain;FC Nantes;1;0;10/01/1960;;;1960;24
AS Béziers;CA Paris;1;0;10/01/1960;;;1960;24
Forbach;Red Star  F.C;0;4;17/01/1960;;;1960;25
RC Roubaix;SO Montpelliérain;0;0;17/01/1960;;;1960;25
US Boulogne CO;AS Cannes;1;1;17/01/1960;;;1960;25
FC Nantes;FC Metz;1;2;17/01/1960;;;1960;25
CA Paris;Olympique de Marseille;2;1;17/01/1960;;;1960;25
GF38;LOSC Lille;2;0;17/01/1960;;;1960;25
Olympique d'Alès;FC Sète 34;2;0;17/01/1960;;;1960;25
FC Nancy;Besançon RC;2;0;27/01/1960;;;1960;25
AS Aixoise;FC Rouen 1899;2;2;03/02/1960;;;1960;25
AS Béziers;Troyes ASTS;3;3;03/02/1960;;;1960;25
FC Metz;Olympique d'Alès;0;0;31/01/1960;;;1960;26
LOSC Lille;Red Star  F.C;1;1;31/01/1960;;;1960;26
US Boulogne CO;RC Roubaix;1;1;31/01/1960;;;1960;26
CA Paris;Forbach;2;1;31/01/1960;;;1960;26
FC Rouen 1899;FC Nancy;2;1;31/01/1960;;;1960;26
AS Cannes;FC Nantes;1;1;31/01/1960;;;1960;26
Olympique de Marseille;AS Béziers;2;1;31/01/1960;;;1960;26
SO Montpelliérain;Besançon RC;1;0;31/01/1960;;;1960;26
FC Sète 34;AS Aixoise;2;0;31/01/1960;;;1960;26
Troyes ASTS;GF38;3;0;31/01/1960;;;1960;26
Forbach;FC Sète 34;1;1;07/02/1960;;;1960;27
FC Nancy;Olympique d'Alès;3;0;07/02/1960;;;1960;27
RC Roubaix;FC Nantes;0;1;07/02/1960;;;1960;27
Red Star  F.C;AS Cannes;1;0;07/02/1960;;;1960;27
Besançon RC;Olympique de Marseille;1;0;07/02/1960;;;1960;27
Troyes ASTS;FC Rouen 1899;1;1;07/02/1960;;;1960;27
GF38;US Boulogne CO;2;1;07/02/1960;;;1960;27
AS Aixoise;LOSC Lille;0;1;07/02/1960;;;1960;27
SO Montpelliérain;CA Paris;1;0;07/02/1960;;;1960;27
AS Béziers;FC Metz;2;0;07/02/1960;;;1960;27
FC Metz;GF38;0;1;21/02/1960;;;1960;28
LOSC Lille;Troyes ASTS;1;3;21/02/1960;;;1960;28
US Boulogne CO;Besançon RC;2;0;21/02/1960;;;1960;28
FC Nantes;Forbach;1;1;21/02/1960;;;1960;28
CA Paris;FC Nancy;1;2;21/02/1960;;;1960;28
FC Rouen 1899;AS Béziers;2;1;21/02/1960;;;1960;28
AS Cannes;SO Montpelliérain;2;0;21/02/1960;;;1960;28
Olympique de Marseille;Red Star  F.C;2;0;21/02/1960;;;1960;28
Olympique d'Alès;AS Aixoise;4;0;21/02/1960;;;1960;28
FC Sète 34;RC Roubaix;0;0;21/02/1960;;;1960;28
FC Metz;Olympique de Marseille;2;2;28/02/1960;;;1960;29
FC Nancy;GF38;1;0;28/02/1960;;;1960;29
RC Roubaix;CA Paris;1;1;28/02/1960;;;1960;29
Red Star  F.C;US Boulogne CO;3;1;28/02/1960;;;1960;29
Besançon RC;AS Béziers;0;1;28/02/1960;;;1960;29
FC Rouen 1899;FC Nantes;2;0;28/02/1960;;;1960;29
Troyes ASTS;SO Montpelliérain;1;0;28/02/1960;;;1960;29
AS Aixoise;Forbach;1;0;28/02/1960;;;1960;29
Olympique d'Alès;AS Cannes;1;1;28/02/1960;;;1960;29
FC Sète 34;LOSC Lille;2;0;28/02/1960;;;1960;29
Forbach;Olympique de Marseille;1;0;13/03/1960;;;1960;30
LOSC Lille;CA Paris;2;2;13/03/1960;;;1960;30
US Boulogne CO;Troyes ASTS;1;2;13/03/1960;;;1960;30
FC Nantes;Olympique d'Alès;2;2;13/03/1960;;;1960;30
Red Star  F.C;FC Rouen 1899;3;0;13/03/1960;;;1960;30
GF38;FC Sète 34;3;0;13/03/1960;;;1960;30
AS Cannes;Besançon RC;1;0;13/03/1960;;;1960;30
AS Aixoise;RC Roubaix;4;1;13/03/1960;;;1960;30
SO Montpelliérain;FC Metz;2;2;13/03/1960;;;1960;30
AS Béziers;FC Nancy;1;1;13/03/1960;;;1960;30
FC Nancy;AS Aixoise;0;0;20/03/1960;;;1960;31
RC Roubaix;AS Béziers;0;2;20/03/1960;;;1960;31
FC Nantes;GF38;3;1;20/03/1960;;;1960;31
CA Paris;FC Sète 34;3;1;20/03/1960;;;1960;31
FC Rouen 1899;FC Metz;2;0;20/03/1960;;;1960;31
Troyes ASTS;Besançon RC;3;0;20/03/1960;;;1960;31
AS Cannes;LOSC Lille;3;1;20/03/1960;;;1960;31
Olympique de Marseille;US Boulogne CO;5;2;20/03/1960;;;1960;31
Olympique d'Alès;Forbach;1;1;20/03/1960;;;1960;31
SO Montpelliérain;Red Star  F.C;1;0;20/03/1960;;;1960;31
Forbach;Troyes ASTS;0;1;27/03/1960;;;1960;32
FC Metz;AS Cannes;5;0;27/03/1960;;;1960;32
LOSC Lille;FC Rouen 1899;1;2;27/03/1960;;;1960;32
US Boulogne CO;CA Paris;1;0;27/03/1960;;;1960;32
Red Star  F.C;RC Roubaix;5;3;27/03/1960;;;1960;32
Besançon RC;AS Aixoise;1;1;27/03/1960;;;1960;32
GF38;Olympique d'Alès;1;0;27/03/1960;;;1960;32
Olympique de Marseille;SO Montpelliérain;0;1;27/03/1960;;;1960;32
AS Béziers;FC Nantes;2;1;27/03/1960;;;1960;32
FC Sète 34;FC Nancy;2;3;27/03/1960;;;1960;32
FC Metz;FC Nancy;3;2;09/04/1960;;;1960;33
RC Roubaix;LOSC Lille;0;2;09/04/1960;;;1960;33
FC Nantes;Troyes ASTS;3;0;09/04/1960;;;1960;33
FC Rouen 1899;US Boulogne CO;4;0;09/04/1960;;;1960;33
